Walk- In Report,,,,,
Business Date,Walk Ins,No Of Transactions,Net Amount,% Conversion,Basket Size
12-02-2023,60,34,91855.25,56.67,2701.63
13-02-2023,22,16,36375.25,72.73,2273.45
14-02-2023,42,24,53341,57.14,2222.54
15-02-2023,31,19,53623,61.29,2822.26
16-02-2023,40,24,39379,60.00,1640.79
17-02-2023,45,23,109744,51.11,4771.48
18-02-2023,60,34,92064.13,56.67,2707.77
19-02-2023,52,32,82961,61.54,2592.53
20-02-2023,21,11,25432,52.38,2312.00
21-02-2023,25,15,29291,60.00,1952.73
22-02-2023,30,16,36027.85,53.33,2251.74
23-02-2023,36,19,32978.27,52.78,1735.70
24-02-2023,42,26,34227.86,61.90,1316.46
25-02-2023,53,28,60080.41,52.83,2145.73
26-02-2023,61,34,88377.75,55.74,2599.35
27-02-2023,39,23,59385.45,58.97,2581.98
28-02-2023,51,28,80762,54.90,2884.36
01-03-2023,38,21,46942.99,55.26,2235.38
02-03-2023,27,14,24140.5,51.85,1724.32
03-03-2023,40,21,42819.39,52.50,2039.02
04-03-2023,79,47,105730.5,59.49,2249.59
05-03-2023,49,30,86898.78,61.22,2896.63
06-03-2023,15,10,17055.91,66.67,1705.59
07-03-2023,15,16,38213.86,106.67,2388.37
08-03-2023,28,15,34935.5,53.57,2329.03
09-03-2023,21,19,37144.65,90.48,1954.98
10-03-2023,38,21,49410.25,55.26,2352.87
11-03-2023,50,31,69129.5,62.00,2229.98
12-03-2023,58,32,75558.95,55.17,2361.22
13-03-2023,21,11,32831.81,52.38,2984.71
14-03-2023,35,18,76312.5,51.43,4239.58
15-03-2023,21,16,33452,76.19,2090.75
16-03-2023,49,28,78102.75,57.14,2789.38
17-03-2023,27,18,54719.25,66.67,3039.96
18-03-2023,40,24,56613,60.00,2358.88
19-03-2023,55,33,94425.5,60.00,2861.38
20-03-2023,27,16,43908.4,59.26,2744.28
21-03-2023,38,21,68238,55.26,3249.43
22-03-2023,35,19,60331,54.29,3175.32
23-03-2023,45,23,51402.12,51.11,2234.87
24-03-2023,47,25,41089.12,53.19,1643.56
25-03-2023,54,30,77771.28,55.56,2592.38
26-03-2023,68,38,100070.4,55.88,2633.43
27-03-2023,27,14,21729.71,51.85,1552.12
28-03-2023,55,28,50572.56,50.91,1806.16
29-03-2023,52,28,85148.5,53.85,3041.02
30-03-2023,49,27,58553.83,55.10,2168.66
31-03-2023,48,26,55671.68,54.17,2141.22
01-04-2023,101,55,115359.22,54.46,2097.44
02-04-2023,74,42,97253.5,56.76,2315.56
03-04-2023,55,30,68127,54.55,2270.90
04-04-2023,75,41,84095.74,54.67,2051.12
05-04-2023,64,36,97581.5,56.25,2710.60
06-04-2023,65,36,88115.91,55.38,2447.66
07-04-2023,65,37,81105.39,56.92,2192.04
08-04-2023,121,68,175504.01,56.20,2580.94
09-04-2023,87,46,118900.41,52.87,2584.79
10-04-2023,60,34,106498.5,56.67,3132.31
11-04-2023,58,36,76160.4,62.07,2115.57
12-04-2023,12,37,108731.75,308.33,2938.70
13-04-2023,77,44,102453.5,57.14,2328.49
14-04-2023,76,43,82638.92,56.58,1921.84
15-04-2023,79,42,118071.25,53.16,2811.22
16-04-2023,72,39,141443.91,54.17,3626.77
17-04-2023,49,28,81332,57.14,2904.71
18-04-2023,48,28,85946.25,58.33,3069.51
19-04-2023,36,25,80055,69.44,3202.20
20-04-2023,46,26,73453,56.52,2825.12
21-04-2023,58,35,79098.25,60.34,2259.95
22-04-2023,52,29,105955.23,55.77,3653.63
23-04-2023,68,41,92799.75,60.29,2263.41
24-04-2023,43,23,66920.53,53.49,2909.59
25-04-2023,30,16,45412.62,53.33,2838.29
26-04-2023,38,20,51077.75,52.63,2553.89
27-04-2023,29,15,29903.48,51.72,1993.57
28-04-2023,32,17,54151.5,53.13,3185.38
29-04-2023,50,26,66521.75,52.00,2558.53
30-04-2023,64,34,103923.25,53.13,3056.57
01-05-2023,49,26,78271.5,53.06,3010.44
02-05-2023,18,10,21808,55.56,2180.80
03-05-2023,23,12,41085.75,52.17,3423.81
04-05-2023,40,21,52284.25,52.50,2489.73
05-05-2023,55,28,70123.5,50.91,2504.41
06-05-2023,63,34,119479.03,53.97,3514.09
07-05-2023,30,16,63098.83,53.33,3943.68
08-05-2023,15,8,24339,53.33,3042.38
09-05-2023,23,12,36813.5,52.17,3067.79
10-05-2023,32,17,43400.83,53.13,2552.99
11-05-2023,28,15,37326.5,53.57,2488.43
12-05-2023,37,20,48974,54.05,2448.70
13-05-2023,75,40,100763.75,53.33,2519.09
14-05-2023,59,31,90307.75,52.54,2913.15
15-05-2023,26,14,51854.5,53.85,3703.89
16-05-2023,26,14,48944.5,53.85,3496.04
17-05-2023,34,18,55285.25,52.94,3071.40
18-05-2023,26,14,40173,53.85,2869.50
19-05-2023,52,27,74956.5,51.92,2776.17
20-05-2023,54,28,67204.75,51.85,2400.17
21-05-2023,42,23,72070,54.76,3133.48
22-05-2023,24,13,34767.75,54.17,2674.44
23-05-2023,46,25,57312.06,54.35,2292.48
24-05-2023,37,20,61022.78,54.05,3051.14
25-05-2023,38,21,59039,55.26,2811.38
26-05-2023,37,20,76212.87,54.05,3810.64
27-05-2023,80,43,113466.1,53.75,2638.75
28-05-2023,61,33,111973.5,54.10,3393.14
29-05-2023,39,21,62530.33,53.85,2977.63
30-05-2023,48,26,83462.5,54.17,3210.10
31-05-2023,34,18,37963.5,52.94,2109.08
01-06-2023,58,31,63349.5,53.45,2043.53
02-06-2023,48,24,64046.75,50.00,2668.61
03-06-2023,78,42,123941.5,53.85,2950.99
04-06-2023,70,38,78869,54.29,2075.50
05-06-2023,26,14,22850.74,53.85,1632.20
06-06-2023,22,12,52243,54.55,4353.58
07-06-2023,17,9,32953,52.94,3661.44
08-06-2023,17,9,27819,52.94,3091.00
09-06-2023,54,29,54866.45,53.70,1891.95
10-06-2023,54,29,83464.25,53.70,2878.08
11-06-2023,43,23,56772,53.49,2468.35
12-06-2023,44,23,59181.5,52.27,2573.11
13-06-2023,28,18,36395.5,64.29,2021.97
14-06-2023,43,23,47718,53.49,2074.70
15-06-2023,35,19,49570.37,54.29,2608.97
16-06-2023,37,20,97230,54.05,4861.50
17-06-2023,65,35,124517,53.85,3557.63
18-06-2023,43,23,72019,53.49,3131.26
19-06-2023,35,19,61254.4,54.29,3223.92
20-06-2023,31,17,60625.61,54.84,3566.21
21-06-2023,50,27,74272,54.00,2750.81
22-06-2023,19,10,22337,52.63,2233.70
23-06-2023,29,16,31665,55.17,1979.06
24-06-2023,81,44,152013.58,54.32,3454.85
25-06-2023,69,38,116236.72,55.07,3058.86
26-06-2023,61,33,103353.79,54.10,3131.93
27-06-2023,63,34,99580.25,53.97,2928.83
28-06-2023,73,39,120419.75,53.42,3087.69
29-06-2023,43,23,73185.37,53.49,3181.97
30-06-2023,47,25,89899.25,53.19,3595.97
01-07-2023,68,37,98639.65,54.41,2665.94
02-07-2023,69,37,125346.01,53.62,3387.73
03-07-2023,41,22,60839,53.66,2765.41
04-07-2023,32,17,54268.19,53.13,3192.25
05-07-2023,28,15,35013.97,53.57,2334.26
06-07-2023,60,28,108625.5,46.67,3879.48
07-07-2023,58,32,112641.41,55.17,3520.04
08-07-2023,66,36,165199,54.55,4588.86
09-07-2023,92,51,178921,55.43,3508.25
10-07-2023,42,23,79880,54.76,3473.04
11-07-2023,31,17,67049.5,54.84,3944.09
12-07-2023,35,19,58007,54.29,3053.00
13-07-2023,35,23,65644,65.71,2854.09
14-07-2023,34,18,65417,52.94,3634.28
15-07-2023,58,30,87869.1,51.72,2928.97
16-07-2023,67,36,135139.25,53.73,3753.87
17-07-2023,33,17,41632.5,51.52,2448.97
18-07-2023,40,21,73483,52.50,3499.19
19-07-2023,24,13,55205,54.17,4246.54
20-07-2023,37,20,59873,54.05,2993.65
21-07-2023,28,13,44098.25,46.43,3392.17
22-07-2023,18,32,107593,177.78,3362.28
23-07-2023,35,22,71142,62.86,3233.73
24-07-2023,18,21,72270.5,116.67,3441.45
25-07-2023,27,19,55560,70.37,2924.21
26-07-2023,20,18,54521.48,90.00,3028.97
27-07-2023,23,20,92821,86.96,4641.05
28-07-2023,23,22,75225.1,95.65,3419.32
29-07-2023,25,25,82358.4,100.00,3294.34
30-07-2023,28,27,94092.95,96.43,3484.92
31-07-2023,23,15,39989.25,65.22,2665.95
01-08-2023,24,24,48337.32,100.00,2014.06
02-08-2023,22,13,42995,59.09,3307.31
03-08-2023,30,24,73220.42,80.00,3050.85
04-08-2023,22,21,55711.59,95.45,2652.93
05-08-2023,40,30,114574.25,75.00,3819.14
06-08-2023,49,30,105229.42,61.22,3507.65
07-08-2023,34,22,55893.95,64.71,2540.63
08-08-2023,27,11,39981,40.74,3634.64
09-08-2023,27,16,44631.25,59.26,2789.45
10-08-2023,35,19,65380.25,54.29,3441.07
11-08-2023,29,15,63919.51,51.72,4261.30
12-08-2023,97,49,201474.34,50.52,4111.72
13-08-2023,50,39,142570.83,78.00,3655.66
14-08-2023,37,23,82272,62.16,3577.04
15-08-2023,45,34,112028.97,75.56,3294.97
16-08-2023,11,24,72754.75,218.18,3031.45
17-08-2023,29,22,71122.25,75.86,3232.83
18-08-2023,28,22,107696.83,78.57,4895.31
19-08-2023,71,47,174676.5,66.20,3716.52
20-08-2023,75,59,238427.71,78.67,4041.15
21-08-2023,37,24,73253,64.86,3052.21
22-08-2023,61,32,100049.25,52.46,3126.54
23-08-2023,53,31,101944.1,58.49,3288.52
24-08-2023,51,35,135494.25,68.63,3871.26
25-08-2023,68,42,170831.05,61.76,4067.41
26-08-2023,0,76,315579.8,#DIV/0!,4152.37
27-08-2023,188,70,256116.25,37.23,3658.80
28-08-2023,67,41,174911.25,61.19,4266.13
29-08-2023,22,19,53421.3,86.36,2811.65
30-08-2023,57,33,108769.8,57.89,3296.05
31-08-2023,35,24,82853,68.57,3452.21
01-09-2023,31,26,98814.5,83.87,3800.56
02-09-2023,35,28,90392.5,80.00,3228.30
03-09-2023,53,38,112426,71.70,2958.58
04-09-2023,39,23,72452.07,58.97,3150.09
05-09-2023,29,18,65987.5,62.07,3665.97
06-09-2023,30,25,67196.75,83.33,2687.87
07-09-2023,25,14,59583,56.00,4255.93
08-09-2023,28,19,43085,67.86,2267.63
09-09-2023,38,32,93912.47,84.21,2934.76
10-09-2023,32,23,74856.25,71.88,3254.62
11-09-2023,28,17,56363.25,60.71,3315.49
12-09-2023,27,16,50863,59.26,3178.94
13-09-2023,30,17,55319.25,56.67,3254.07
14-09-2023,17,13,37737,76.47,2902.85
15-09-2023,47,16,74870.25,34.04,4679.39
16-09-2023,31,18,53924,58.06,2995.78
17-09-2023,41,20,81435,48.78,4071.75
18-09-2023,26,13,54477.5,50.00,4190.58
19-09-2023,30,15,39084,50.00,2605.60
20-09-2023,38,21,55361.25,55.26,2636.25
21-09-2023,25,13,37009.25,52.00,2846.87
22-09-2023,30,22,118389.25,73.33,5381.33
23-09-2023,39,21,61387.6,53.85,2923.22
24-09-2023,45,27,106148.25,60.00,3931.42
25-09-2023,27,12,51541,44.44,4295.08
26-09-2023,20,12,43531,60.00,3627.58
27-09-2023,21,15,30934.01,71.43,2062.27
28-09-2023,35,21,62529.25,60.00,2977.58
29-09-2023,28,13,59427.5,46.43,4571.35
30-09-2023,34,30,84926.05,88.24,2830.87
01-10-2023,36,27,86948,75.00,3220.30
02-10-2023,30,19,80890.5,63.33,4257.39
03-10-2023,23,15,45062,65.22,3004.13
04-10-2023,22,17,59759.75,77.27,3515.28
05-10-2023,19,10,36406,52.63,3640.60
06-10-2023,25,18,54850,72.00,3047.22
07-10-2023,34,25,93882,73.53,3755.28
08-10-2023,34,27,81324.5,79.41,3012.02
09-10-2023,30,17,80751.5,56.67,4750.09
10-10-2023,8,8,20650,100.00,2581.25
11-10-2023,22,14,64402.3,63.64,4600.16
12-10-2023,24,17,53691,70.83,3158.29
13-10-2023,30,23,71342.89,76.67,3101.86
14-10-2023,57,41,122359.75,71.93,2984.38
15-10-2023,45,34,128536,75.56,3780.47
16-10-2023,21,12,34926,57.14,2910.50
17-10-2023,29,24,64848,82.76,2702.00
18-10-2023,29,25,71776.25,86.21,2871.05
19-10-2023,21,13,52677.5,61.90,4052.12
20-10-2023,32,16,61084.75,50.00,3817.80
21-10-2023,28,20,84557,71.43,4227.85
22-10-2023,37,25,100298.75,67.57,4011.95
23-10-2023,37,28,101052,75.68,3609.00
24-10-2023,35,24,67493,68.57,2812.21
25-10-2023,26,17,57578,65.38,3386.94
26-10-2023,16,11,40137.5,68.75,3648.86
27-10-2023,29,19,73398,65.52,3863.05
28-10-2023,34,26,77385,76.47,2976.35
29-10-2023,50,26,102720.5,52.00,3950.79
30-10-2023,17,10,37130,58.82,3713.00
31-10-2023,17,10,45850,58.82,4585.00
01-11-2023,21,16,51803.5,76.19,3237.72
02-11-2023,38,12,38771.75,31.58,3230.98
03-11-2023,21,10,45697.05,47.62,4569.71
04-11-2023,33,21,86223,63.64,4105.86
05-11-2023,37,28,90900.35,75.68,3246.44
06-11-2023,33,26,87096.8,78.79,3349.88
07-11-2023,19,13,72827.5,68.42,5602.12
08-11-2023,29,18,77128,62.07,4284.89
09-11-2023,21,10,45890,47.62,4589.00
10-11-2023,22,15,39582,68.18,2638.80
11-11-2023,54,34,154542.3,62.96,4545.36
12-11-2023,27,23,108755.75,85.19,4728.51
13-11-2023,29,20,90110,68.97,4505.50
14-11-2023,23,16,42664,69.57,2666.50
15-11-2023,20,11,47015.5,55.00,4274.14
16-11-2023,29,18,69769,62.07,3876.06
17-11-2023,33,22,58672.41,66.67,2666.93
18-11-2023,29,16,56716.75,55.17,3544.80
19-11-2023,31,21,99495.64,67.74,4737.89
20-11-2023,27,21,57855,77.78,2755.00
21-11-2023,22,19,49368.92,86.36,2598.36
22-11-2023,13,8,31812,61.54,3976.50
23-11-2023,27,17,79202.65,62.96,4658.98
24-11-2023,35,21,89680.25,60.00,4270.49
25-11-2023,30,18,49448,60.00,2747.11
26-11-2023,36,18,86575.5,50.00,4809.75
27-11-2023,25,10,33428.97,40.00,3342.90
28-11-2023,34,24,61597.8,70.59,2566.58
29-11-2023,14,7,24265,50.00,3466.43
30-11-2023,30,13,50650,43.33,3896.15
01-12-2023,17,10,27927,58.82,2792.70
02-12-2023,43,39,183146.05,90.70,4696.05
03-12-2023,47,38,148261.15,80.85,3901.61
04-12-2023,30,17,85326.4,56.67,5019.20
05-12-2023,36,28,93320,77.78,3332.86
06-12-2023,27,16,64443.72,59.26,4027.73
07-12-2023,22,15,68030.5,68.18,4535.37
08-12-2023,20,15,38725.44,75.00,2581.70
09-12-2023,43,31,142307.8,72.09,4590.57
10-12-2023,43,36,116336.2,83.72,3231.56
11-12-2023,24,16,51449.4,66.67,3215.59
12-12-2023,22,18,39493.7,81.82,2194.09
13-12-2023,35,24,89845.4,68.57,3743.56
14-12-2023,34,28,84567.15,82.35,3020.26
15-12-2023,40,30,95581.85,75.00,3186.06
16-12-2023,42,33,142693.65,78.57,4324.05
17-12-2023,70,49,190176.55,70.00,3881.15
18-12-2023,45,23,115314.6,51.11,5013.68
19-12-2023,33,22,97716.36,66.67,4441.65
20-12-2023,53,41,160726.75,77.36,3920.16
21-12-2023,32,37,133217.4,115.63,3600.47
22-12-2023,51,44,165245.13,86.27,3755.57
23-12-2023,87,66,264984.32,75.86,4014.91
24-12-2023,90,51,239570.95,56.67,4697.47
25-12-2023,90,36,160401.3,40.00,4455.59
26-12-2023,60,36,148675.5,60.00,4129.88
27-12-2023,48,32,141633.35,66.67,4426.04
28-12-2023,39,37,161263.73,94.87,4358.48
29-12-2023,42,35,143379.75,83.33,4096.56
30-12-2023,47,36,191286.85,76.60,5313.52
31-12-2023,42,41,134715.77,97.62,3285.75
Grand Total :,15039,9027,28442683.41,#DIV/0!,1149466.85
,,,,,
