Walk- In Report,,,,,
Business Date,Walk Ins,No Of Transactions,Net Amount,% Conversion,Basket Size
20-03-2024,15,8,23809.8,53.33,2976.23
21-03-2024,32,24,93590.85,75,3899.62
22-03-2024,25,21,82479.98,84,3927.62
23-03-2024,27,22,90740.3,81.48,4124.56
24-03-2024,41,36,152192.65,87.8,4227.57
25-03-2024,21,19,52039.18,90.48,2738.9
26-03-2024,16,13,41477.05,81.25,3190.54
27-03-2024,27,25,90755,92.59,3630.2
28-03-2024,25,20,77084.05,80,3854.2
29-03-2024,38,31,117863.25,81.58,3802.04
30-03-2024,60,43,204471,71.67,4755.14
31-03-2024,33,25,99636.3,75.76,3985.45
01-04-2024,15,13,35188,86.67,2706.77
02-04-2024,28,20,68700.3,71.43,3435.02
03-04-2024,28,21,64027.3,75,3048.92
04-04-2024,35,30,107279.75,85.71,3575.99
05-04-2024,35,30,85276.75,85.71,2842.56
06-04-2024,46,37,167561,80.43,4528.68
07-04-2024,68,50,243171.8,73.53,4863.44
08-04-2024,41,37,152589.7,90.24,4124.05
09-04-2024,57,53,206330.5,92.98,3893.03
10-04-2024,38,28,112118.3,73.68,4004.23
11-04-2024,33,26,132324.3,78.79,5089.4
12-04-2024,38,26,78828.8,68.42,3031.88
13-04-2024,43,32,117065.1,74.42,3658.28
14-04-2024,52,43,239241.6,82.69,5563.76
15-04-2024,28,21,80463.4,75,3831.59
16-04-2024,31,24,94769.1,77.42,3948.71
17-04-2024,27,21,88436,77.78,4211.24
18-04-2024,14,11,47859,78.57,4350.82
19-04-2024,28,17,123293.6,60.71,7252.56
20-04-2024,37,30,134880,81.08,4496
21-04-2024,51,38,151919.1,74.51,3997.87
22-04-2024,32,22,81491,68.75,3704.14
23-04-2024,31,24,103876,77.42,4328.17
24-04-2024,19,14,68176.9,73.68,4869.78
25-04-2024,29,17,34434.41,58.62,2025.55
26-04-2024,24,20,61756.8,83.33,3087.84
27-04-2024,32,25,134274.1,78.13,5370.96
28-04-2024,48,31,109969,64.58,3547.39
29-04-2024,21,14,61045,66.67,4360.36
30-04-2024,22,19,52623.1,86.36,2769.64
01-05-2024,38,31,116898.8,81.58,3770.93
02-05-2024,23,16,69693.3,69.57,4355.83
03-05-2024,31,22,98698,70.97,4486.27
04-05-2024,25,23,124586.7,92,5416.81
05-05-2024,51,46,170724.31,90.2,3711.4
06-05-2024,21,23,63110.17,109.52,2743.92
07-05-2024,21,21,72779.56,100,3465.69
08-05-2024,22,17,52457.6,77.27,3085.74
09-05-2024,20,22,56897.8,110,2586.26
10-05-2024,41,29,127046.5,70.73,4380.91
11-05-2024,38,29,115611.3,76.32,3986.6
12-05-2024,39,35,156527.9,89.74,4472.23
13-05-2024,25,19,75914.3,76,3995.49
14-05-2024,29,25,103845.01,86.21,4153.8
15-05-2024,31,24,106078.8,77.42,4419.95
16-05-2024,29,23,81904.18,79.31,3561.05
17-05-2024,28,23,89216,82.14,3878.96
18-05-2024,39,26,269913.4,66.67,10381.28
19-05-2024,51,35,163656.1,68.63,4675.89
20-05-2024,29,23,93940.2,79.31,4084.36
21-05-2024,28,19,59146.4,67.86,3112.97
22-05-2024,23,18,83225,78.26,4623.61
23-05-2024,31,25,105990.46,80.65,4239.62
24-05-2024,24,23,94345.5,95.83,4101.98
25-05-2024,38,27,114609.9,71.05,4244.81
26-05-2024,39,33,137718.52,84.62,4173.29
27-05-2024,22,26,70240.8,118.18,2701.57
28-05-2024,21,19,66890.6,90.48,3520.56
29-05-2024,27,20,67411.49,74.07,3370.57
30-05-2024,32,26,94568.85,81.25,3637.26
31-05-2024,19,30,82223.94,157.89,2740.8
01-06-2024,31,37,86931.3,119.35,2349.49
Grand Total :,4437,3548,13511531.73,12431.22,575116.38
